label,name,degree
ASN,AS55286,1
ASN,AS154383,1
ASN,AS198364,1
ASN,AS39798,1
ASN,AS213250,1
ASN,AS138195,1
ASN,AS49791,1
ASN,AS24863,1
ASN,AS204044,1
ASN,AS395880,1
ASN,AS967,1
ASN,AS200823,1
ASN,AS6698,1
ASN,AS396356,1
ASN,AS35916,1
ASN,AS56694,1
ASN,AS214822,1
ASN,AS58087,1
ASN,AS212027,1
ASN,AS398764,1
ASN,AS212171,1
ASN,AS17676,1
ASN,AS22827,1
ASN,AS21947,1
ASN,AS11776,1
ASN,AS11427,1
ASN,AS212136,1
ASN,AS215730,1
ASN,AS198953,1
ASN,AS211486,1
ASN,AS206378,1
ASN,AS213282,1
ASN,AS216046,1
ASN,AS211138,1
ASN,AS20312,1
ASN,AS142299,1
ASN,AS270353,1
ASN,AS135388,1
ASN,AS208951,1
ASN,AS146817,1
ASN,AS198134,1
ASN,AS12389,1
ASN,AS42610,1
ASN,AS49581,1
ASN,AS42275,1
ASN,AS133752,1
ASN,AS202015,1
ASN,AS138415,1
ASN,AS49367,1
ASN,AS209605,1
ASN,AS50053,1
ASN,AS64236,1
ASN,AS399114,1
ASN,AS397373,1
ASN,AS12810,1
ASN,AS49392,1
ASN,AS205431,1
ASN,AS135089,1
ASN,AS142637,1
ASN,AS200758,1
ASN,AS137699,1
ASN,AS136038,1
ASN,AS40861,1
ASN,AS133201,1
ASN,AS41722,1
ASN,AS44382,1
ASN,AS207350,1
ASN,AS134419,1
ASN,AS932,1
ASN,AS24544,1
ASN,AS4181,1
ASN,AS215703,1
ASN,AS137535,1
ASN,AS23889,1
ASN,AS152586,1
ASN,AS196728,1
ASN,AS58224,1
ASN,AS48716,1
ASN,AS7393,1
ASN,AS134677,1
ASN,AS136258,1
ASN,AS151858,1
ASN,AS400992,1
ASN,AS209693,1
ASN,AS24444,1
HostingProvider,"Cloudflare, Inc.",2007
HostingProvider,Hostinger International Limited,789
HostingProvider,Oracle Corporation,311
HostingProvider,"Namecheap, Inc.",297
HostingProvider,"Amazon.com, Inc.",233
HostingProvider,"The Constant Company, LLC",209
HostingProvider,IONOS SE,198
HostingProvider,"DigitalOcean, LLC",183
HostingProvider,"GoDaddy.com, LLC",159
HostingProvider,"Cloudflare London, LLC",139
HostingProvider,Hurricane Electric LLC,126
HostingProvider,Hetzner Online GmbH,116
HostingProvider,OVH SAS,113
HostingProvider,Unified Layer,77
HostingProvider,Google LLC,65
HostingProvider,FDCservers.net,61
HostingProvider,WHG Hosting Services Ltd,60
HostingProvider,"Network Solutions, LLC",60
HostingProvider,BL Networks,58
HostingProvider,Contabo GmbH,54
HostingProvider,"Alibaba (US) Technology Co., Ltd.",48
HostingProvider,"Hangzhou Alibaba Advertising Co.,Ltd.",48
HostingProvider,Aruba S.p.A.,45
HostingProvider,Akamai Connected Cloud,42
HostingProvider,Omegatech LTD,40
HostingProvider,Shenzhen Tencent Computer Systems Company Limited,40
HostingProvider,LeaseWeb Netherlands B.V.,36
HostingProvider,One.com A/S,35
HostingProvider,Cloudflare Pages,34
HostingProvider,Jsc timeweb,33
HostingProvider,SYNERGY WHOLESALE PTY LTD,33
HostingProvider,Beyotta Services LLP,32
HostingProvider,Sucuri,32
HostingProvider,"New Dream Network, LLC",32
HostingProvider,"Tencent Building, Kejizhongyi Avenue",31
HostingProvider,Turnkey Internet Inc.,31
HostingProvider,M247 Europe SRL,29
HostingProvider,HostPapa,29
HostingProvider,Microsoft Corporation,29
HostingProvider,Google Blogger,27
HostingProvider,Leaseweb Deutschland GmbH,27
HostingProvider,WIIT AG,27
HostingProvider,Strato GmbH,25
HostingProvider,O2switch SAS,25
HostingProvider,Infomaniak Network SA,25
HostingProvider,Locaweb Servicos de Internet S/A,25
HostingProvider,Host Europe GmbH,24
HostingProvider,"InMotion Hosting, Inc.",24
HostingProvider,Vercel,23
HostingProvider,"Fastly, Inc.",23
HostingProvider,Aeza Group LLC,22
HostingProvider,Shereverov Marat Ahmedovich,22
HostingProvider,Private Layer INC,21
HostingProvider,CTG Server Limited,21
HostingProvider,1337 Services GmbH,21
HostingProvider,Combell NV,20
HostingProvider,"Interserver, Inc",18
HostingProvider,Netsec Limited,18
HostingProvider,Host Universal Pty Ltd,18
HostingProvider,Antbox Networks Limited,17
HostingProvider,Xneelo (Pty) Ltd,17
HostingProvider,Metronet,17
HostingProvider,"HIVELOCITY, Inc.",17
HostingProvider,GitHub Pages,16
HostingProvider,Dedik Services Limited,16
HostingProvider,PDR,16
HostingProvider,"Newfold Digital, Inc.",16
HostingProvider,DinaHosting S.L.,15
HostingProvider,Loopia AB,15
HostingProvider,dataforest GmbH,14
HostingProvider,RouterHosting LLC,13
HostingProvider,Dynu Systems Incorporated,13
HostingProvider,cognetcloud INC,13
HostingProvider,Team Blue Carrier Limited,13
HostingProvider,BlueVPS OU,12
HostingProvider,Groupe LWS SARL,12
HostingProvider,SAKURA Internet Inc.,11
HostingProvider,Great Flower,11
HostingProvider,Trellian Pty. Limited,11
